File,Address,Hop,IP,Average Time
2024-04-26_02.txt,www.fmprc.gov.cn,6,146.97.35.217,13.17
2024-04-26_02.txt,www.fmprc.gov.cn,7,146.97.33.61,11.58
2024-04-26_02.txt,www.fmprc.gov.cn,8,146.97.35.194,7.35
2024-04-26_02.txt,www.fmprc.gov.cn,9,62.115.175.106,5.47
2024-04-26_02.txt,www.fmprc.gov.cn,10,62.115.138.168,6.66
2024-04-26_02.txt,www.fmprc.gov.cn,11,62.115.122.189,5.75
2024-04-26_02.txt,www.fmprc.gov.cn,12,62.115.161.119,6.4
2024-04-26_02.txt,www.gov.za,1,139.222.0.1,1.09
2024-04-26_02.txt,www.gov.za,2,10.0.0.1,6.92
2024-04-26_02.txt,www.gov.za,3,193.62.92.126,0.91
2024-04-26_02.txt,www.gov.za,4,10.11.2.2,0.99
2024-04-26_02.txt,www.gov.za,5,146.97.130.237,5.66
